country,paper_count,author_count,country_mapped
USA,774,1114,United States of America
Australia,656,842,Australia
UK,293,352,United Kingdom
Canada,234,283,Canada
Italy,114,213,Italy
Germany,90,103,Germany
Japan,90,131,Japan
South Africa,86,104,South Africa
Portugal,75,103,Portugal
China,71,141,China
France,68,82,France
Spain,55,66,Spain
India,44,66,India
New Zealand,44,50,New Zealand
Brazil,38,46,Brazil
Mexico,34,34,Mexico
Singapore,21,26,Singapore
Philippines,16,20,Philippines
Malaysia,15,27,Malaysia
Indonesia,14,17,Indonesia
Chile,11,13,Chile
Thailand,6,9,Thailand
Argentina,3,3,Argentina
